,Date,Open,Close,Diference,Tendencia
0,2019-04-22 00:00,5303.36,5305.19,0.034,sin_tendencia
1,2019-04-22 01:00,5305.35,5303.19,-0.041,sin_tendencia
2,2019-04-22 02:00,5303.0,5280.26,-0.431,sin_tendencia
3,2019-04-22 03:00,5280.11,5276.84,-0.062,sin_tendencia
4,2019-04-22 04:00,5276.52,5268.05,-0.161,sin_tendencia
5,2019-04-22 05:00,5268.52,5287.32,0.356,sin_tendencia
6,2019-04-22 06:00,5287.69,5284.93,-0.052,sin_tendencia
7,2019-04-22 07:00,5284.78,5297.49,0.24,sin_tendencia
8,2019-04-22 08:00,5297.5,5290.01,-0.142,sin_tendencia
9,2019-04-22 09:00,5290.19,5301.99,0.223,sin_tendencia
10,2019-04-22 10:00,5301.71,5310.49,0.165,sin_tendencia
11,2019-04-22 11:00,5312.14,5325.73,0.255,sin_tendencia
12,2019-04-22 12:00,5326.07,5318.46,-0.143,sin_tendencia
13,2019-04-22 13:00,5318.42,5319.0,0.011,sin_tendencia
14,2019-04-22 14:00,5319.04,5309.64,-0.177,sin_tendencia
15,2019-04-22 15:00,5309.65,5328.69,0.357,sin_tendencia
16,2019-04-22 16:00,5328.49,5323.06,-0.102,sin_tendencia
17,2019-04-22 17:00,5322.09,5313.98,-0.153,sin_tendencia
18,2019-04-22 18:00,5314.25,5374.9,1.128,tendencia_alcista
19,2019-04-22 19:00,5378.86,5417.26,0.709,tendencia_alcista
20,2019-04-22 20:00,5418.75,5395.77,-0.426,sin_tendencia
21,2019-04-22 21:00,5395.81,5379.98,-0.294,sin_tendencia
22,2019-04-22 22:00,5379.59,5395.06,0.287,sin_tendencia
23,2019-04-22 23:00,5395.19,5410.02,0.274,sin_tendencia
24,2019-04-23 00:00,5409.14,5394.83,-0.265,sin_tendencia
25,2019-04-23 01:00,5394.97,5385.8,-0.17,sin_tendencia
26,2019-04-23 02:00,5385.95,5394.4,0.157,sin_tendencia
27,2019-04-23 03:00,5394.3,5408.77,0.268,sin_tendencia
28,2019-04-23 04:00,5408.88,5438.45,0.544,tendencia_alcista
29,2019-04-23 05:00,5439.17,5521.96,1.499,tendencia_alcista
30,2019-04-23 06:00,5524.76,5548.08,0.42,sin_tendencia
31,2019-04-23 07:00,5546.82,5549.49,0.048,sin_tendencia
32,2019-04-23 08:00,5549.77,5553.31,0.064,sin_tendencia
33,2019-04-23 09:00,5553.5,5558.41,0.088,sin_tendencia
34,2019-04-23 10:00,5558.43,5549.63,-0.159,sin_tendencia
35,2019-04-23 11:00,5550.19,5563.7,0.243,sin_tendencia
36,2019-04-23 12:00,5563.71,5568.7,0.09,sin_tendencia
37,2019-04-23 13:00,5567.38,5581.59,0.255,sin_tendencia
38,2019-04-23 14:00,5580.02,5585.24,0.093,sin_tendencia
