Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-04-22,5303.35986328125,5319.330078125,5290.60009765625,5305.18994140625,0,0,0
2019-04-22,5305.35009765625,5313.83984375,5302.81982421875,5303.18994140625,4141587,0,0
2019-04-22,5303.0,5305.669921875,5271.580078125,5280.259765625,6657944,0,0
2019-04-22,5280.10986328125,5293.10986328125,5275.330078125,5276.83984375,3551682,0,0
2019-04-22,5276.52001953125,5283.5498046875,5267.18017578125,5268.0498046875,4440353,0,0
2019-04-22,5268.52001953125,5290.490234375,5268.52001953125,5287.31982421875,2958542,0,0
2019-04-22,5287.68994140625,5293.9599609375,5279.7900390625,5284.93017578125,4920110,0,0
2019-04-22,5284.77978515625,5298.31005859375,5276.240234375,5297.490234375,7590780,0,0
2019-04-22,5297.5,5301.2001953125,5290.009765625,5290.009765625,2478536,0,0
2019-04-22,5290.18994140625,5302.72998046875,5288.93017578125,5301.990234375,3050600,0,0
2019-04-22,5301.7099609375,5311.740234375,5285.68994140625,5310.490234375,5059884,0,0
2019-04-22,5312.14013671875,5326.14013671875,5306.2998046875,5325.72998046875,5687324,0,0
2019-04-22,5326.06982421875,5332.83984375,5317.3701171875,5318.4599609375,6209396,0,0
2019-04-22,5318.419921875,5331.1298828125,5316.75,5319.0,4487544,0,0
2019-04-22,5319.0400390625,5320.080078125,5309.64013671875,5309.64013671875,5821640,0,0
2019-04-22,5309.64990234375,5333.08984375,5307.0400390625,5328.68994140625,9028140,0,0
2019-04-22,5328.490234375,5398.97998046875,5311.9599609375,5323.06005859375,47715792,0,0
2019-04-22,5322.08984375,5322.669921875,5299.52001953125,5313.97998046875,17024152,0,0
2019-04-22,5314.25,5378.68994140625,5313.35009765625,5374.89990234375,19098208,0,0
2019-04-22,5378.85986328125,5421.81982421875,5372.9599609375,5417.259765625,23521040,0,0
2019-04-22,5418.75,5440.919921875,5369.7001953125,5395.77001953125,25102448,0,0
2019-04-22,5395.81005859375,5412.22021484375,5379.06982421875,5379.97998046875,9705568,0,0
2019-04-22,5379.58984375,5407.93017578125,5370.419921875,5395.06005859375,7420672,0,0
2019-04-22,5395.18994140625,5411.4501953125,5388.9501953125,5410.02001953125,8992288,0,0
2019-04-23,5409.14013671875,5409.14013671875,5382.18017578125,5394.830078125,7774512,0,0
2019-04-23,5394.97021484375,5398.2900390625,5371.39013671875,5385.7998046875,0,0,0
2019-04-23,5385.9501953125,5395.5498046875,5383.8701171875,5394.39990234375,3952016,0,0
2019-04-23,5394.2998046875,5412.83984375,5394.2998046875,5408.77001953125,7100866,0,0
2019-04-23,5408.8798828125,5451.509765625,5408.66015625,5438.4501953125,14268018,0,0
2019-04-23,5439.169921875,5623.41015625,5439.169921875,5521.9599609375,91205656,0,0
