Date,Open,High,Low,Close,Adj Close,Volume
2018-08-09,25576.240234375,25604.5,25561.919921875,25594.400390625,25594.400390625,0
2018-08-09,25596.619140625,25613.310546875,25562.01953125,25583.9609375,25583.9609375,29556083
2018-08-09,25584.80078125,25584.80078125,25523.41015625,25549.0703125,25549.0703125,25223033
2018-08-09,25548.30078125,25577.44921875,25547.240234375,25573.1796875,25573.1796875,19884639
2018-08-09,25574.16015625,25583.619140625,25560.599609375,25571.130859375,25571.130859375,19656149
2018-08-09,25572.58984375,25582.69921875,25560.220703125,25562.2109375,25562.2109375,20598370
2018-08-09,25561.44921875,25564.640625,25492.91015625,25515.91015625,25515.91015625,33005086
2018-08-10,25385.48046875,25385.48046875,25264.419921875,25285.330078125,25285.330078125,0
2018-08-10,25287.66015625,25349.1796875,25279.25,25335.580078125,25335.580078125,29624038
2018-08-10,25338.599609375,25371.890625,25314.029296875,25332.240234375,25332.240234375,20413772
2018-08-10,25334.7109375,25343.919921875,25295.1796875,25314.0,25314.0,15998203
2018-08-10,25314.0390625,25316.349609375,25224.869140625,25226.439453125,25226.439453125,22768607
2018-08-10,25224.419921875,25348.41015625,25223.419921875,25329.5,25329.5,26960681
2018-08-10,25332.189453125,25334.470703125,25294.6796875,25323.26953125,25323.26953125,28428987
2018-08-13,25333.919921875,25379.55078125,25314.169921875,25353.810546875,25353.810546875,0
2018-08-13,25356.23046875,25359.439453125,25259.619140625,25266.669921875,25266.669921875,28072685
2018-08-13,25265.990234375,25275.26953125,25181.439453125,25195.900390625,25195.900390625,23105067
2018-08-13,25196.060546875,25225.359375,25154.26953125,25225.359375,25225.359375,19793285
2018-08-13,25234.419921875,25274.33984375,25211.890625,25268.08984375,25268.08984375,18869105
2018-08-13,25270.3203125,25273.2109375,25211.4609375,25216.4296875,25216.4296875,24230308
2018-08-13,25217.609375,25228.779296875,25184.390625,25187.169921875,25187.169921875,31850400
2018-08-14,25230.58984375,25285.6796875,25205.740234375,25271.94921875,25271.94921875,0
2018-08-14,25271.7890625,25320.73046875,25261.279296875,25302.890625,25302.890625,29955672
2018-08-14,25296.169921875,25309.119140625,25270.330078125,25309.119140625,25309.119140625,20629420
2018-08-14,25309.599609375,25323.990234375,25286.189453125,25305.640625,25305.640625,19227159
2018-08-14,25302.51953125,25336.470703125,25296.630859375,25312.109375,25312.109375,23385928
2018-08-14,25313.05078125,25339.509765625,25311.48046875,25322.05078125,25322.05078125,23762291
2018-08-14,25318.51953125,25323.30078125,25290.390625,25292.5390625,25292.5390625,27475645
2018-08-15,25164.419921875,25178.0390625,25006.599609375,25012.970703125,25012.970703125,0
2018-08-15,25002.919921875,25074.560546875,24969.5703125,25057.810546875,25057.810546875,44634579
2018-08-15,25069.470703125,25096.5703125,25023.51953125,25080.619140625,25080.619140625,27419521
2018-08-15,25082.4609375,25123.220703125,25067.240234375,25080.51953125,25080.51953125,27301264
2018-08-15,25080.310546875,25085.009765625,25004.0390625,25013.890625,25013.890625,28342541
2018-08-15,25013.970703125,25136.9609375,25008.740234375,25125.859375,25125.859375,32570092
2018-08-15,25127.720703125,25194.25,25127.720703125,25163.560546875,25163.560546875,40754022
2018-08-16,25403.630859375,25494.169921875,25403.560546875,25490.2890625,25490.2890625,0
2018-08-16,25495.69921875,25520.73046875,25487.140625,25520.130859375,25520.130859375,41972017
2018-08-16,25519.439453125,25594.650390625,25507.05078125,25572.970703125,25572.970703125,35320426
2018-08-16,25571.609375,25584.580078125,25545.640625,25578.9609375,25578.9609375,28703017
2018-08-16,25581.0,25606.669921875,25559.2890625,25581.9609375,25581.9609375,29613856
2018-08-16,25580.7109375,25600.609375,25555.619140625,25598.369140625,25598.369140625,33576313
2018-08-16,25592.880859375,25592.880859375,25537.0,25558.73046875,25558.73046875,47502590
2018-08-17,25547.099609375,25578.919921875,25522.19921875,25533.91015625,25533.91015625,0
2018-08-17,25531.779296875,25596.650390625,25531.779296875,25595.720703125,25595.720703125,38365373
2018-08-17,25596.9609375,25666.390625,25593.83984375,25637.009765625,25637.009765625,32263697
2018-08-17,25637.51953125,25637.51953125,25590.859375,25593.23046875,25593.23046875,20727482
2018-08-17,25592.369140625,25713.01953125,25592.369140625,25702.41015625,25702.41015625,28495544
2018-08-17,25701.390625,25726.849609375,25677.849609375,25687.099609375,25687.099609375,27894195
2018-08-17,25685.720703125,25696.810546875,25662.060546875,25662.060546875,25662.060546875,36929619
2018-08-20,25734.240234375,25789.919921875,25716.91015625,25781.119140625,25781.119140625,0
2018-08-20,25779.73046875,25779.73046875,25724.9296875,25755.060546875,25755.060546875,33551794
2018-08-20,25751.91015625,25785.650390625,25749.01953125,25776.3203125,25776.3203125,24850610
2018-08-20,25775.400390625,25778.7890625,25758.2890625,25770.369140625,25770.369140625,21838857
2018-08-20,25770.470703125,25782.2109375,25761.1796875,25780.4609375,25780.4609375,19977208
2018-08-20,25781.900390625,25784.19921875,25756.23046875,25772.880859375,25772.880859375,24020579
2018-08-20,25769.75,25780.189453125,25754.75,25757.30078125,25757.30078125,30067009
2018-08-21,25792.740234375,25855.1796875,25790.970703125,25830.48046875,25830.48046875,0
2018-08-21,25831.630859375,25842.5703125,25804.0,25817.109375,25817.109375,29370837
2018-08-21,25818.720703125,25874.75,25815.4296875,25870.69921875,25870.69921875,24836395
2018-08-21,25871.0703125,25888.58984375,25860.0390625,25877.220703125,25877.220703125,20381628
2018-08-21,25877.4296875,25886.599609375,25860.140625,25877.5,25877.5,20335737
2018-08-21,25873.689453125,25873.689453125,25839.98046875,25857.380859375,25857.380859375,26655197
2018-08-21,25856.4609375,25860.439453125,25812.2890625,25822.490234375,25822.490234375,31989029
2018-08-22,25814.759765625,25835.359375,25774.4609375,25774.4609375,25774.4609375,0
2018-08-22,25775.220703125,25829.390625,25769.390625,25820.7890625,25820.7890625,28270024
2018-08-22,25817.859375,25823.26953125,25789.490234375,25789.490234375,25789.490234375,17937377
2018-08-22,25792.8203125,25797.939453125,25769.55078125,25780.55078125,25780.55078125,15138492
2018-08-22,25779.890625,25790.859375,25722.630859375,25742.560546875,25742.560546875,19374082
2018-08-22,25745.330078125,25759.990234375,25736.0,25749.810546875,25749.810546875,20114055
2018-08-22,25750.669921875,25768.130859375,25734.919921875,25734.919921875,25734.919921875,27551897
2018-08-23,25702.98046875,25750.380859375,25664.5390625,25745.5390625,25745.5390625,0
2018-08-23,25745.91015625,25759.69921875,25630.330078125,25632.240234375,25632.240234375,27646173
2018-08-23,25633.130859375,25674.439453125,25608.33984375,25672.630859375,25672.630859375,22161823
2018-08-23,25673.51953125,25687.58984375,25633.80078125,25659.080078125,25659.080078125,22418702
2018-08-23,25659.48046875,25668.630859375,25639.9296875,25665.419921875,25665.419921875,19061864
2018-08-23,25665.8203125,25687.279296875,25656.5703125,25680.16015625,25680.16015625,18816341
2018-08-23,25681.220703125,25681.66015625,25635.859375,25654.880859375,25654.880859375,29493550
2018-08-24,25715.66015625,25754.51953125,25711.75,25742.830078125,25742.830078125,0
2018-08-24,25743.08984375,25807.33984375,25741.0703125,25783.359375,25783.359375,29532296
2018-08-24,25784.41015625,25824.41015625,25784.05078125,25821.359375,25821.359375,19931847
