Date;Time;Open;Close;Diference;Tendencia;bitcoin;blockchain;cryptocurrency;Ethereum;mining;Nvidia
22/04/2019;0:00;5303.36;5305.19;0.034;sin_tendencia;12;38;9;7;41;52
22/04/2019;1:00;5305.35;5303.19;-0.041;sin_tendencia;12;38;9;7;41;52
22/04/2019;2:00;5303.0;5280.26;-0.431;sin_tendencia;12;38;9;7;41;52
22/04/2019;3:00;5280.11;5276.84;-0.062;sin_tendencia;12;38;9;7;41;52
22/04/2019;4:00;5276.52;5268.05;-0.161;sin_tendencia;12;38;9;7;41;52
22/04/2019;5:00;5268.52;5287.32;0.356;sin_tendencia;12;38;9;7;41;52
22/04/2019;6:00;5287.69;5284.93;-0.052;sin_tendencia;12;38;9;7;41;52
22/04/2019;7:00;5284.78;5297.49;0.24;sin_tendencia;12;38;9;7;41;52
22/04/2019;8:00;5297.5;5290.01;-0.142;sin_tendencia;12;38;9;7;41;52
22/04/2019;9:00;5290.19;5301.99;0.223;sin_tendencia;12;38;9;7;41;52
22/04/2019;10:00;5301.71;5310.49;0.165;sin_tendencia;12;38;9;7;41;52
22/04/2019;11:00;5312.14;5325.73;0.255;sin_tendencia;12;38;9;7;41;52
22/04/2019;12:00;5326.07;5318.46;-0.143;sin_tendencia;12;38;9;7;41;52
22/04/2019;13:00;5318.42;5319.0;0.011;sin_tendencia;12;38;9;7;41;52
22/04/2019;14:00;5319.04;5309.64;-0.177;sin_tendencia;12;38;9;7;41;52
22/04/2019;15:00;5309.65;5328.69;0.357;sin_tendencia;12;38;9;7;41;52
22/04/2019;16:00;5328.49;5323.06;-0.102;sin_tendencia;12;38;9;7;41;52
22/04/2019;17:00;5322.09;5313.98;-0.153;sin_tendencia;12;38;9;7;41;52
22/04/2019;18:00;5314.25;5374.9;1.128;tendencia_alcista;12;38;9;7;41;52
22/04/2019;19:00;5378.86;5417.26;0.709;tendencia_alcista;12;38;9;7;41;52
22/04/2019;20:00;5418.75;5395.77;-0.426;sin_tendencia;12;38;9;7;41;52
22/04/2019;21:00;5395.81;5379.98;-0.294;sin_tendencia;12;38;9;7;41;52
22/04/2019;22:00;5379.59;5395.06;0.287;sin_tendencia;12;38;9;7;41;52
22/04/2019;23:00;5395.19;5410.02;0.274;sin_tendencia;12;38;9;7;41;52
23/04/2019;0:00;5409.14;5394.83;-0.265;sin_tendencia;12;38;9;7;41;52
